data,loja,temp_min_c,temp_max_c,temp_media_c,feriado,feriado_nome,feriado_tipo,evento,evento_nome,evento_tipo,evento_local
2024-08-13,Shopping Metro Santa Cruz,5.9,13.7,9.3,0,,,0,,,
2024-08-14,Shopping Metro Santa Cruz,6.2,20.8,12.0,0,,,0,,,
2024-08-15,Shopping Metro Santa Cruz,9.0,27.0,16.3,0,,,0,,,
2024-08-16,Shopping Metro Santa Cruz,10.2,28.5,19.0,0,,,0,,,
2024-08-17,Shopping Metro Santa Cruz,12.5,29.3,20.1,0,,,0,,,
2024-08-18,Shopping Metro Santa Cruz,11.7,29.6,20.4,0,,,0,,,
2024-08-19,Shopping Metro Santa Cruz,10.9,29.7,20.2,0,,,0,,,
2024-08-20,Shopping Metro Santa Cruz,13.0,29.0,18.9,0,,,0,,,
2024-08-21,Shopping Metro Santa Cruz,14.6,27.9,19.2,0,,,0,,,
2024-08-22,Shopping Metro Santa Cruz,12.5,30.5,21.1,0,,,0,,,
2024-08-23,Shopping Metro Santa Cruz,14.5,31.9,23.2,0,,,0,,,
2024-08-24,Shopping Metro Santa Cruz,14.7,22.4,16.9,0,,,0,,,
2024-08-25,Shopping Metro Santa Cruz,9.3,14.2,12.2,0,,,0,,,
2024-08-26,Shopping Metro Santa Cruz,4.6,15.1,10.0,0,,,0,,,
2024-08-27,Shopping Metro Santa Cruz,2.8,17.7,9.1,0,,,0,,,
2024-08-28,Shopping Metro Santa Cruz,6.6,19.9,12.2,0,,,0,,,
2024-08-29,Shopping Metro Santa Cruz,11.1,25.7,16.5,0,,,0,,,
2024-08-30,Shopping Metro Santa Cruz,10.5,27.3,18.2,0,,,0,,,
2024-08-31,Shopping Metro Santa Cruz,10.4,27.5,18.0,0,,,0,,,
2024-09-01,Shopping Metro Santa Cruz,12.0,30.7,20.9,0,,,0,,,
2024-09-02,Shopping Metro Santa Cruz,13.8,27.9,18.8,0,,,0,,,
2024-09-03,Shopping Metro Santa Cruz,13.9,31.0,20.4,0,,,0,,,
